<<<<<<< HEAD
date,return_date,duration,name_of_airport,employee_name,paid,final_price,number_plate,ssn
06/12/2020,15,Kulusuk,Guðmundur,no,124750,UI 956,191292-7689,
12/12/2020,10/12/2020,-2,Looploop,Andri,yes,-3600,AK 312,250996-4039
01/12/2020,11/12/2020,10,Kulusuk,Hjörtur,no,18000,AK 312,210997-2379
14/12/2020,17/12/2020,3,Kulusuk,markhús,no,2550,RE 777,210997-2379
=======
date,return_date,duration,name_of_airport,employee_name,paid,final_price,number_plate,ssn
06/12/2020,15,Kulusuk,Guðmundur,no,124750,UI 956,191292-7689,
12/12/2020,14/12/2020,3,Looploop,Andri,yes,3600,AK 312,250996-4039
11/12/2020,14/12/2020,2,Kulusuk,Andri,no,2550,JL 321,250996-4039
01/12/2020,10/12/2020,9,Kulusuk,Hjörtur,yes,16200,AK 312,210997-2379
>>>>>>> 698c67e1eb294cc54bc2a16fbecb12a46581d1e7
