name,ssn,email,gsm_number,address,driving_license,returned_late_before
Jón,191292-7689,j.s@god.com,7162817,Hafnargata 1,b,no
Jón,234543-4567,j.s@god.com,7689876,Hafnargata 8,b,no
Gauti,210997-2379,gauti@gmail.com,7844234,gautland 8,b,no
geirfinnur,0123456-789,blelladur@bles.is,5885522,blesugróf,abcdefghjklmnp,always
Friðfinnur,1234567890,fadir@daddy.com,7891234,Ingolfstorg,abc,no
Hákon,123456-7890,emil@studendt.is,7894321,Stkkjabakki 78,a,no
Lalli,123456-1234,lalli@ru.is,1231234,Lambaslóð,a,no
Gauti,210997-2379,gauti44@gmail.com,8761234,Andahvarf,b,no
Skarphéðinn,250996-4039,skarpi.isak@gmail.com,6969860,Kögursel 8,c,yes
Jón steinar s.,170892-2679,jon@ru.is,7770011,Vellir 19,a,no
Andri,210292-2929,andri@ru.is,5550001,Vesturgata 8,a,no
Sölvi,100795-2219,solvi@ru.is,8884411,Gata 1,a,no
