name,ssn,address,home_phone,gsm_phone,email,location,role
Jón Steinar,170892-2679,Blómvellir 29,555-4321,777-4321,jonsteinar@ru.is,Nuuk,COO
Tom,220099-2222,Street 10,6668888,9990088,tom@nan.is,Kulusuk,base
Gauti,210997-2379,fífuhvammur 8,5531221,7886464,gauti@gmail.com,Reykjavik,ceo
Thor,122029-9292,Valhalla,6661111,7771111,thor@nan.is,Reykjavik,fleet
<<<<<<< HEAD
Steve,201090-2020,Gata 1,5550001,7770001,steve@nan.is,Kulusuk,Base
Andri,210292-2929,9,5650011,7771122,andri@nan.is,Nuuk,ceo
=======
Andri,210292-2929,9,5650011,7771122,andri@nan.is,Reykjavik,ceo
>>>>>>> 017baf51cd08d37c6c01a7aec09fd4f7de7b83ba
